Component,References,Value,Quantity Per PCB,Part Number,Manufacturer,Digikey Part Number,Description
1,C6 C38,10p,2,GCM1885C1H100JA16D,Murata Electronics,490-4766-1-ND,"10 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
2,C9 C18 C41 C50,68p,4,CL10C680JB8NNNC,Samsung Electro-Mechanics,1276-1135-1-ND,"68 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
3,C19 C20 C51 C52,470p,4,CL10C471JB8NNNC,Samsung Electro-Mechanics,1276-1168-1-ND,"470 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
4,C1 C3 C11 C13 C33 C35 C43 C45,1n,8,GRM1885C1H102JA01D,Murata Electronics,490-1451-1-ND,"1000 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
5,C4 C36,3n,2,GCM1885C1H302FA16J,Murata Electronics,490-GCM1885C1H302FA16JCT-ND,"3000 pF ±1% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
6,C16 C17 C48 C49,10n,4,GRM1885C1H103JA01D,Murata Electronics,490-9666-1-ND,"10000 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
7,C5 C7 C10 C12 C14 C15 C37 C39 C42 C44 C46 C47,100n,12,GRM31C5C1H104JA01L,Murata Electronics,490-6505-1-ND,"0.1 µF ±5% 50V Ceramic Capacitor C0G, NP0 1206 (3216 Metric)"
8,C21 C22 C23 C24 C28 C29 C31 C32,100n,8,GRM3195C2A104JA01D,Murata Electronics,490-GRM3195C2A104JA01DCT-ND,"0.1 µF ±5% 100V Ceramic Capacitor C0G, NP0 1206 (3216 Metric)"
9,C25 C26 C27 C30,22u,4,GRM31C5C1H224JE02L,Murata Electronics,490-GRM31C5C1H224JE02LCT-ND,"0.22 µF ±5% 50V Ceramic Capacitor C0G, NP0 1206 (3216 Metric)"
10,D1 D2,BAR46FILM,2,BAR46FILM,STMicroelectronics,497-12128-1-ND,Diode 100 V 150mA Surface Mount SOT-23
11,J10 J11,7701-3,2,7701-3,Keystone Electronics,36-7701-3-ND,"4 Pin Screw Terminal, Power Tap 6-32 Through Hole"
12,J1,D15P33E4GV00LF,1,D15P33E4GV00LF,Amphenol ICC (FCI),609-1492-ND,"15 Position D-Sub Plug, Male Pins Connector"
